src_port,dst_port,protocol,duration,total_packets,total_bytes,syn_count,ack_count,fin_count,rst_count,psh_count,packet_rate,bytes_rate,iat_mean,iat_std,label
1024,22,17,2056,1064,595264,18,86,0,19,27,517509.728,289525291.829,0.001438,0.005591,ATTACK
16271,22,6,148127,55,170663,2,17,1,0,7,371.303,1152139.718,0.888006,0.647735,BENIGN
1449,80,17,90194,76,41058,0,21,0,0,6,842.628,455218.751,0.154107,0.678148,BENIGN
40589,123,6,121435,142,33022,1,10,2,1,5,1169.35,271931.486,0.870255,0.563953,BENIGN
4027,587,6,76861,25,61324,0,6,1,1,5,325.262,797855.87,0.252355,0.284861,BENIGN
8080,3389,6,1451,2337,1036811,25,59,3,9,59,1610613.37,714549276.361,0.01938,0.028291,ATTACK
45890,123,6,61043,13,82994,1,2,0,0,5,212.965,1359598.971,0.326814,0.399886,BENIGN
59002,587,17,38452,72,36903,0,35,2,1,6,1872.464,959716.01,1.347756,0.320121,BENIGN
15397,80,17,24831,17,29043,0,2,2,1,1,684.628,1169626.676,0.583303,0.477115,BENIGN
31698,22,17,146024,7,178632,2,0,2,1,5,47.937,1223305.758,0.176213,0.348377,BENIGN
9001,22,17,4150,881,2139371,18,111,2,27,40,212289.157,515511084.337,0.015476,0.010747,ATTACK
25528,80,6,158009,87,128385,0,7,1,1,3,550.602,812517.009,0.096308,0.70253,BENIGN
63083,53,6,128399,22,139945,0,2,2,1,8,171.341,1089922.819,0.256039,0.422611,BENIGN
40777,443,6,142373,56,82014,1,21,2,1,7,393.333,576050.234,1.350425,0.361737,BENIGN
17270,80,6,89627,10,154521,2,1,2,0,0,111.574,1724045.21,0.11578,0.505251,BENIGN
4444,22,6,2756,440,2166527,35,35,3,7,34,159651.669,786112844.702,0.004403,0.04684,ATTACK
38447,22,17,64700,126,107008,0,12,0,1,5,1947.45,1653910.355,0.641132,0.374153,BENIGN
48804,53,6,16889,108,89246,0,15,0,0,8,6394.695,5284267.867,0.678434,0.338083,BENIGN
19278,443,6,20761,118,144564,0,3,2,0,1,5683.734,6963248.398,1.390287,0.679108,BENIGN
11923,443,17,127185,59,105430,0,5,1,0,6,463.891,828949.955,0.405153,0.627472,BENIGN
9001,80,17,4602,2143,659264,29,37,1,2,37,465667.101,143255975.663,0.022204,0.003987,ATTACK
21576,53,6,154138,127,132119,2,20,0,0,2,823.937,857147.491,0.112097,0.055301,BENIGN
57504,80,17,32427,150,64843,2,5,2,0,6,4625.775,1999660.777,0.989486,0.452616,BENIGN
21757,123,6,176564,85,62870,1,25,0,1,7,481.412,356074.851,0.481104,0.60174,BENIGN
5778,53,17,163833,149,26509,0,68,0,1,2,909.463,161805.009,1.400556,0.70481,BENIGN
4444,80,17,1342,1944,2288421,43,78,0,22,52,1448584.203,1705231743.666,0.016861,0.046656,ATTACK
7812,80,17,31258,32,145324,0,8,1,0,5,1023.738,4649177.81,0.31336,0.507756,BENIGN
18324,22,17,66829,18,24495,2,6,1,0,0,269.344,366532.493,0.506999,0.105525,BENIGN
65236,123,6,116824,146,112415,2,1,0,0,2,1249.743,962259.467,0.82293,0.667841,BENIGN
39199,22,6,113666,37,11265,1,11,0,1,3,325.515,99106.153,1.026279,0.53388,BENIGN
8080,445,17,1316,1119,691581,27,112,3,1,11,850303.951,525517477.204,0.022229,0.017277,ATTACK
62025,443,6,70941,45,28636,1,1,1,0,3,634.33,403659.379,1.226714,0.368782,BENIGN
21024,80,6,7203,173,50927,1,42,1,0,4,24017.77,7070248.508,0.533208,0.408015,BENIGN
45556,22,17,8235,34,68775,0,8,0,0,6,4128.719,8351548.27,0.525074,0.629356,BENIGN
29623,22,6,101976,152,50128,1,5,2,1,0,1490.547,491566.643,0.784681,0.645402,BENIGN
4444,80,17,623,1502,1326657,20,92,2,17,19,2410914.928,2129465489.567,0.020173,0.016983,ATTACK
46716,123,6,51289,112,174607,1,43,2,0,4,2183.704,3404375.207,0.615052,0.667146,BENIGN
20938,123,6,113692,153,159332,2,41,1,1,7,1345.741,1401435.457,1.016685,0.409428,BENIGN
53042,587,6,173713,26,74692,2,10,2,1,1,149.672,429973.577,1.229451,0.601159,BENIGN
45116,123,6,53200,42,6702,0,7,1,0,7,789.474,125977.444,0.627517,0.504183,BENIGN
4444,3389,17,4099,1786,1033344,23,83,0,29,48,435716.028,252096608.929,0.025883,0.044388,ATTACK
52038,443,6,47107,137,122078,0,31,0,1,2,2908.273,2591504.447,1.204111,0.534395,BENIGN
37653,22,17,117017,161,132624,1,70,1,0,7,1375.868,1133373.783,0.680604,0.60167,BENIGN
56065,587,17,137655,129,164598,0,35,1,0,4,937.125,1195728.452,0.359395,0.269342,BENIGN
59549,22,6,37273,43,60923,1,4,2,0,1,1153.65,1634507.552,0.628153,0.265374,BENIGN
9001,443,6,1744,1870,1643584,79,89,0,28,56,1072247.706,942422018.349,0.023085,0.019639,ATTACK
1410,123,17,103232,112,141391,2,47,2,0,7,1084.935,1369643.134,0.336938,0.349233,BENIGN
2926,443,17,176341,178,106289,2,21,1,0,8,1009.408,602746.951,0.05018,0.315822,BENIGN
38011,587,6,23006,169,112658,0,59,0,0,4,7345.91,4896896.462,0.574865,0.170117,BENIGN
